Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,11,2008,Scheduled,Arrival,International,3478
1,11,2008,Scheduled,Departure,International,3468
1,11,2008,Charter,Arrival,Domestic,28
1,11,2008,Scheduled,Departure,Domestic,16425
1,11,2008,Charter,Departure,International,8
1,11,2008,Charter,Arrival,International,3
1,12,2008,Scheduled,Departure,International,3729
1,12,2008,Scheduled,Arrival,International,3739
1,12,2008,Scheduled,Arrival,Domestic,17155
1,12,2008,Scheduled,Departure,Domestic,17170
1,12,2008,Charter,Arrival,International,2
1,12,2008,Charter,Departure,Domestic,43
1,12,2008,Charter,Arrival,Domestic,50
1,1,2009,Scheduled,Departure,International,3647
1,1,2009,Charter,Departure,Domestic,43
1,1,2009,Scheduled,Arrival,International,3670
1,1,2009,Scheduled,Departure,Domestic,16824
1,1,2009,Charter,Arrival,Domestic,35
1,1,2009,Charter,Departure,International,6
1,1,2009,Charter,Arrival,International,6
1,1,2009,Scheduled,Arrival,Domestic,16788
1,2,2009,Charter,Arrival,Domestic,33
1,2,2009,Charter,Arrival,International,6
1,2,2009,Scheduled,Departure,Domestic,15409
1,2,2009,Charter,Departure,Domestic,33
1,2,2009,Scheduled,Arrival,International,3207
1,2,2009,Scheduled,Arrival,Domestic,15368
1,2,2009,Scheduled,Departure,International,3192
1,2,2009,Charter,Departure,International,6
1,3,2009,Scheduled,Arrival,International,3640
1,3,2009,Scheduled,Arrival,Domestic,17458
1,3,2009,Charter,Departure,Domestic,49
1,3,2009,Charter,Departure,International,11
1,3,2009,Charter,Arrival,Domestic,50
1,3,2009,Charter,Arrival,International,10
1,3,2009,Scheduled,Departure,Domestic,17511
1,3,2009,Scheduled,Departure,International,3611
1,4,2009,Scheduled,Arrival,Domestic,16828
1,4,2009,Charter,Arrival,International,5
1,4,2009,Scheduled,Departure,Domestic,16861
1,4,2009,Charter,Departure,International,6
1,4,2009,Scheduled,Arrival,International,3602
1,4,2009,Charter,Departure,Domestic,43
1,4,2009,Scheduled,Departure,International,3586
1,4,2009,Charter,Arrival,Domestic,42
1,5,2009,Charter,Arrival,International,3
1,5,2009,Scheduled,Arrival,International,3532
1,5,2009,Scheduled,Departure,International,3522
1,5,2009,Charter,Departure,Domestic,30
1,5,2009,Charter,Departure,International,3
1,5,2009,Scheduled,Arrival,Domestic,17436
1,5,2009,Scheduled,Departure,Domestic,17466
1,5,2009,Charter,Arrival,Domestic,32
1,6,2009,Scheduled,Arrival,International,3509
1,6,2009,Charter,Arrival,International,8
1,6,2009,Scheduled,Departure,International,3517
1,6,2009,Charter,Departure,International,7
1,6,2009,Charter,Departure,Domestic,40
1,6,2009,Scheduled,Arrival,Domestic,17843
1,6,2009,Scheduled,Departure,Domestic,17872
1,6,2009,Charter,Arrival,Domestic,36
1,7,2009,Scheduled,Arrival,International,3967
1,7,2009,Charter,Arrival,Domestic,26
1,7,2009,Scheduled,Departure,International,3959
1,7,2009,Charter,Arrival,International,5
1,7,2009,Charter,Departure,International,5
1,7,2009,Scheduled,Arrival,Domestic,18833
1,7,2009,Scheduled,Departure,Domestic,18918
1,7,2009,Charter,Departure,Domestic,27
1,8,2009,Scheduled,Departure,Domestic,18740
1,8,2009,Charter,Arrival,International,5
1,8,2009,Charter,Arrival,Domestic,5
1,8,2009,Scheduled,Departure,International,3929
1,8,2009,Charter,Departure,Domestic,8
1,8,2009,Scheduled,Arrival,International,3907
1,8,2009,Charter,Departure,International,5
1,8,2009,Scheduled,Arrival,Domestic,18712
1,9,2009,Scheduled,Arrival,Domestic,16981
1,9,2009,Charter,Arrival,Domestic,23
1,9,2009,Scheduled,Arrival,International,3450
1,9,2009,Charter,Departure,International,1
1,9,2009,Charter,Arrival,International,3
1,9,2009,Charter,Departure,Domestic,22
1,9,2009,Scheduled,Departure,International,3453
1,9,2009,Scheduled,Departure,Domestic,16992
1,10,2009,Charter,Arrival,International,190
1,10,2009,Scheduled,Arrival,Domestic,17674
1,10,2009,Scheduled,Departure,International,3398
1,10,2009,Charter,Departure,International,191
1,10,2009,Scheduled,Departure,Domestic,17729
1,10,2009,Charter,Arrival,Domestic,33
1,10,2009,Charter,Departure,Domestic,31
1,10,2009,Scheduled,Arrival,International,3402
1,11,2009,Scheduled,Arrival,Domestic,16858
1,11,2009,Scheduled,Departure,Domestic,16884
1,11,2009,Scheduled,Arrival,International,3504
1,11,2009,Charter,Arrival,International,4
1,11,2009,Scheduled,Departure,International,3503
1,11,2009,Charter,Departure,Domestic,37
1,11,2009,Charter,Departure,International,3
1,11,2009,Charter,Arrival,Domestic,37
1,12,2009,Scheduled,Departure,International,3920
1,12,2009,Charter,Arrival,Domestic,59
1,12,2009,Scheduled,Departure,Domestic,17634
1,12,2009,Scheduled,Arrival,International,8760
1,12,2009,Charter,Departure,Domestic,43
1,12,2009,Scheduled,Arrival,Domestic,17610
1,1,2010,Charter,Arrival,International,1
1,1,2010,Scheduled,Departure,International,3889
1,1,2010,Scheduled,Departure,Domestic,17296
1,1,2010,Charter,Arrival,Domestic,269
1,1,2010,Scheduled,Arrival,Domestic,17233
1,1,2010,Charter,Departure,Domestic,84
1,1,2010,Scheduled,Arrival,International,3893
1,2,2010,Charter,Arrival,International,3
1,2,2010,Charter,Arrival,Domestic,31
1,2,2010,Scheduled,Departure,Domestic,15759
1,2,2010,Scheduled,Arrival,Domestic,15704
1,2,2010,Scheduled,Arrival,International,3372
1,2,2010,Scheduled,Departure,International,3372
1,2,2010,Charter,Departure,International,2
1,2,2010,Charter,Departure,Domestic,32
1,3,2010,Scheduled,Departure,International,3727
1,3,2010,Charter,Departure,International,1
1,3,2010,Charter,Arrival,International,3
1,3,2010,Scheduled,Arrival,Domestic,18157
1,3,2010,Scheduled,Departure,Domestic,18226
1,3,2010,Scheduled,Arrival,International,3729
1,3,2010,Charter,Departure,Domestic,28
1,3,2010,Charter,Arrival,Domestic,25
1,4,2010,Scheduled,Arrival,Domestic,17663
1,4,2010,Scheduled,Departure,Domestic,17652
1,4,2010,Scheduled,Arrival,International,3685
1,4,2010,Charter,Departure,Domestic,20
1,4,2010,Charter,Arrival,Domestic,20
1,4,2010,Scheduled,Departure,International,3679
1,4,2010,Charter,Arrival,International,3
1,5,2010,Charter,Departure,International,5
1,5,2010,Scheduled,Departure,Domestic,18358
1,5,2010,Scheduled,Arrival,Domestic,18347
1,5,2010,Charter,Arrival,International,4
1,5,2010,Scheduled,Arrival,International,3775
1,5,2010,Charter,Departure,Domestic,17
1,5,2010,Scheduled,Departure,International,3771
1,5,2010,Charter,Arrival,Domestic,15
1,6,2010,Charter,Arrival,Domestic,16
1,6,2010,Scheduled,Arrival,Domestic,18580
1,6,2010,Charter,Departure,International,11
